user_id,name,age,city,physical_ability,tech_comfort,hours_per_week,prefers_outdoor,prefers_social,cluster
1,Mary Smith,85,Saline,low,low,12,0,1,3
2,Virginia Lewis,85,Canton,low,low,7,1,1,0
3,Dorothy Williams,68,Ypsilanti,medium,low,10,1,0,2
4,John Lee,82,Canton,medium,low,7,0,1,0
5,Richard Allen,62,Ypsilanti,medium,low,15,0,0,2
6,Alice Davis,72,Ann Arbor,low,low,3,1,1,1
7,Carol Clark,70,Ann Arbor,medium,medium,12,0,0,2
8,Linda Williams,79,Saline,high,medium,8,0,1,0
9,Sandra Robinson,68,Ann Arbor,low,low,6,1,0,1
10,Thomas Williams,69,Ann Arbor,low,low,3,1,0,1
11,Sandra Miller,73,Saline,low,low,4,1,1,1
12,Ruth Clark,82,Ypsilanti,medium,low,5,1,1,0
13,Karen White,70,Canton,low,low,14,1,1,2
14,Betty Wilson,63,Saline,medium,low,14,1,1,2
15,Roy King,84,Saline,low,low,15,1,1,3
16,Karen Jones,70,Ypsilanti,low,medium,6,1,1,1
17,Donald Walker,80,Plymouth,high,low,7,0,1,0
18,Charles Jones,78,Plymouth,low,low,15,0,1,3
19,Mary Jones,82,Ypsilanti,medium,low,6,1,1,0
20,Ruth White,74,Canton,high,medium,10,1,1,1
21,Lawrence Hernandez,62,Ann Arbor,medium,medium,10,1,1,2
22,Richard Hall,82,Saline,low,low,15,1,0,3
23,Karen Smith,85,Saline,high,medium,8,0,0,0
24,Arthur Wright,65,Saline,high,medium,8,1,0,2
25,John Jones,73,Ypsilanti,medium,medium,5,0,0,1
26,Frank Wright,62,Canton,low,low,12,1,0,2
27,Sandra King,71,Ypsilanti,low,high,10,0,1,1
28,Frances Williams,85,Plymouth,high,high,14,1,1,3
29,Ralph Hall,66,Ypsilanti,medium,high,11,1,1,2
30,Robert Anderson,78,Canton,medium,low,13,0,1,3
31,Ralph Hall,85,Ypsilanti,medium,low,14,0,1,3
32,Sandra Martin,78,Plymouth,low,low,10,1,1,3
33,Patricia Smith,80,Canton,low,low,11,0,0,3
34,Ruth Lee,82,Ann Arbor,low,high,14,1,0,3
35,Patricia Williams,78,Ypsilanti,low,low,9,1,0,0
36,Ralph Jones,85,Canton,medium,low,10,1,1,0
37,Harold Allen,75,Ypsilanti,low,medium,4,1,1,1
38,Carol Harris,75,Plymouth,high,low,2,1,1,1
39,Virginia Johnson,74,Saline,high,low,2,0,1,1
40,John Davis,79,Plymouth,low,low,5,0,1,0
41,Karen Wilson,64,Plymouth,high,high,12,0,0,2
42,Virginia Johnson,82,Canton,high,high,10,1,1,0
43,George Miller,75,Plymouth,medium,high,15,0,1,3
44,Betty Miller,74,Ann Arbor,high,low,5,0,1,1
45,Karen Taylor,75,Canton,medium,low,15,1,1,3
46,John Taylor,68,Ann Arbor,medium,medium,5,1,0,1
47,Barbara Johnson,63,Canton,medium,high,15,1,0,2
48,Frank Miller,63,Canton,low,low,12,1,0,2
49,Eugene Williams,83,Ypsilanti,medium,high,4,1,1,0
50,Roy Wilson,80,Canton,low,low,11,0,1,3
